fid,name,status,permalink,description,excerpt,author,date,address,address2,city,state,zip,country,country_iso,latitude,longitude,hours,phone,fax,email,url,image,category
9191,Stafford Community Center,pending,stafford-community-center,"EveryOther Thursday. Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.",,1,12/19/2022 10:15,3 Buckley Hwy.,,Stafford Springs,CT,6076,,US,41.954988,-72.28974,"10/13/22 9:00 AM - 9:30 AM<br>
10/27/22 9:00 AM - 9:30 AM<br>
11/10/22 9:00 AM - 9:30 AM<br>
12/8/22 9:00 AM - 9:30 AM<br>
12/22/22 9:00 AM - 9:30 AM<br>
1/5/23 9:00 AM - 9:30 AM<br>
1/19/23 9:00 AM - 9:30 AM<br>
2/2/23 9:00 AM - 9:30 AM<br>
2/16/23 9:00 AM - 9:30 AM<br>
3/2/23 9:00 AM - 9:30 AM<br>
3/16/23 9:00 AM - 9:30 AM<br>
3/30/23 9:00 AM - 9:30 AM<br>
4/13/23 9:00 AM - 9:30 AM<br>
4/27/23 9:00 AM - 9:30 AM<br>
5/11/23 9:00 AM - 9:30 AM<br>
5/25/23 9:00 AM - 9:30 AM<br>
6/8/23 9:00 AM - 9:30 AM<br>
6/22/23 9:00 AM - 9:30 AM<br>
7/6/23 9:00 AM - 9:30 AM<br>
7/20/23 9:00 AM - 9:30 AM<br>
8/3/23 9:00 AM - 9:30 AM<br>
8/17/23 9:00 AM - 9:30 AM<br>
8/31/23 9:00 AM - 9:30 AM<br>
9/14/23 9:00 AM - 9:30 AM<br>
9/28/23 9:00 AM - 9:30 AM<br>
10/12/23 9:00 AM - 9:30 AM<br>
10/26/23 9:00 AM - 9:30 AM<br>
11/9/23 9:00 AM - 9:30 AM<br>
11/23/23 9:00 AM - 9:30 AM<br>
12/7/23 9:00 AM - 9:30 AM<br>
12/21/23 9:00 AM - 9:30 AM<br>",,,,,0,
9166,YMCA,publish,ymca,"Every other Wednesday.
Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.",,1,11/18/2022 18:08,50 High St,,New Britain,CT,6051,USA,US,41.668594,-72.785721,"10/12/22 10:15 AM - 11:00 AM<br>
10/26/22 10:15 AM - 11:00 AM<br>
11/9/22 10:15 AM - 11:00 AM<br>
11/23/22 10:15 AM - 11:00 AM<br>
12/7/22 10:15 AM - 11:00 AM<br>
12/21/22 10:15 AM - 11:00 AM<br>
1/4/23 10:15 AM - 11:00 AM<br>
1/18/23 10:15 AM - 11:00 AM<br>
2/1/23 10:15 AM - 11:00 AM<br>
2/15/23 10:15 AM - 11:00 AM<br>
3/1/23 10:15 AM - 11:00 AM<br>
3/15/23 10:15 AM - 11:00 AM<br>
3/29/23 10:15 AM - 11:00 AM<br>
4/12/23 10:15 AM - 11:00 AM<br>
4/26/23 10:15 AM - 11:00 AM<br>
5/10/23 10:15 AM - 11:00 AM<br>
5/24/23 10:15 AM - 11:00 AM<br>
6/7/23 10:15 AM - 11:00 AM<br>
6/21/23 10:15 AM - 11:00 AM<br>
7/5/23 10:15 AM - 11:00 AM<br>
7/19/23 10:15 AM - 11:00 AM<br>
8/2/23 10:15 AM - 11:00 AM<br>
8/16/23 10:15 AM - 11:00 AM<br>
8/30/23 10:15 AM - 11:00 AM<br>
9/13/23 10:15 AM - 11:00 AM<br>
9/27/23 10:15 AM - 11:00 AM<br>
10/11/23 10:15 AM - 11:00 AM<br>
10/25/23 10:15 AM - 11:00 AM<br>
11/8/23 10:15 AM - 11:00 AM<br>
11/22/23 10:15 AM - 11:00 AM<br>
12/6/23 10:15 AM - 11:00 AM<br>
12/20/23 10:15 AM - 11:00 AM<br>",,,,,0,
9167,Vertical Church,publish,vertical-church,"Every other Tuesday.

Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.",,1,11/18/2022 18:08,225 Meloy Rd,,West Haven,CT,6516,USA,US,41.278122,-72.975675,"10/11/22 8:45 AM - 9:45 AM<br>
10/25/22 8:45 AM - 9:45 AM<br>
11/8/22 8:45 AM - 9:45 AM<br>
11/22/22 8:45 AM - 9:45 AM<br>
12/6/22 8:45 AM - 9:45 AM<br>
12/20/22 8:45 AM - 9:45 AM<br>
1/3/23 8:45 AM - 9:45 AM<br>
1/17/23 8:45 AM - 9:45 AM<br>
1/31/23 8:45 AM - 9:45 AM<br>
2/14/23 8:45 AM - 9:45 AM<br>
2/28/23 8:45 AM - 9:45 AM<br>
3/14/23 8:45 AM - 9:45 AM<br>
3/28/23 8:45 AM - 9:45 AM<br>
4/11/23 8:45 AM - 9:45 AM<br>
4/25/23 8:45 AM - 9:45 AM<br>
5/9/23 8:45 AM - 9:45 AM<br>
5/23/23 8:45 AM - 9:45 AM<br>
6/6/23 8:45 AM - 9:45 AM<br>
6/20/23 8:45 AM - 9:45 AM<br>
7/4/23 8:45 AM - 9:45 AM<br>
7/18/23 8:45 AM - 9:45 AM<br>
8/1/23 8:45 AM - 9:45 AM<br>
8/15/23 8:45 AM - 9:45 AM<br>
8/29/23 8:45 AM - 9:45 AM<br>
9/12/23 8:45 AM - 9:45 AM<br>
9/26/23 8:45 AM - 9:45 AM<br>
10/10/23 8:45 AM - 9:45 AM<br>
10/24/23 8:45 AM - 9:45 AM<br>
11/7/23 8:45 AM - 9:45 AM<br>
11/21/23 8:45 AM - 9:45 AM<br>
12/5/23 8:45 AM - 9:45 AM<br>
12/19/23 8:45 AM - 9:45 AM<br>",,,,,0,
9168,Wapping Community Church,publish,wapping-community-church,"Every other Thursday.
Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.",,1,11/18/2022 18:08,1790 Ellington Rd,,South Windsor,CT,6074,USA,US,41.827566,-72.553248,"12/22/22 11:30 AM - 12:00 PM<br>
1/5/23 11:30 AM - 12:00 PM<br>
1/19/23 11:30 AM - 12:00 PM<br>
2/2/23 11:30 AM - 12:00 PM<br>
2/16/23 11:30 AM - 12:00 PM<br>
3/2/23 11:30 AM - 12:00 PM<br>
3/16/23 11:30 AM - 12:00 PM<br>
3/30/23 11:30 AM - 12:00 PM<br>
4/13/23 11:30 AM - 12:00 PM<br>
4/27/23 11:30 AM - 12:00 PM<br>
5/11/23 11:30 AM - 12:00 PM<br>
5/25/23 11:30 AM - 12:00 PM<br>
6/8/23 11:30 AM - 12:00 PM<br>
6/22/23 11:30 AM - 12:00 PM<br>
7/6/23 11:30 AM - 12:00 PM<br>
7/20/23 11:30 AM - 12:00 PM<br>
8/3/23 11:30 AM - 12:00 PM<br>
8/17/23 11:30 AM - 12:00 PM<br>
8/31/23 11:30 AM - 12:00 PM<br>
9/14/23 11:30 AM - 12:00 PM<br>
9/28/23 11:30 AM - 12:00 PM<br>
10/12/23 11:30 AM - 12:00 PM<br>
10/26/23 11:30 AM - 12:00 PM<br>
11/9/23 11:30 AM - 12:00 PM<br>
11/23/23 11:30 AM - 12:00 PM<br>
12/7/23 11:30 AM - 12:00 PM<br>
12/21/23 11:30 AM - 12:00 PM<br>",,,,,0,
9169,Waste Not Want Not - South Congregational Church,publish,waste-not-want-not-south-congregational-church,"Every other Tuesday. Parking behind church.
Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.",,1,11/18/2022 18:08,242 Salmon Brook St,,Granby,CT,6035,USA,US,41.950848,-72.789183,"10/4/22 1:30 PM - 2:00 PM<br>
10/18/22 1:30 PM - 2:00 PM<br>
11/1/22 1:30 PM - 2:00 PM<br>
11/15/22 1:30 PM - 2:00 PM<br>
11/29/22 1:30 PM - 2:00 PM<br>
12/13/22 1:30 PM - 2:00 PM<br>
12/27/22 1:30 PM - 2:00 PM<br>
1/10/23 1:30 PM - 2:00 PM<br>
1/24/23 1:30 PM - 2:00 PM<br>
2/7/23 1:30 PM - 2:00 PM<br>
2/21/23 1:30 PM - 2:00 PM<br>
3/7/23 1:30 PM - 2:00 PM<br>
3/21/23 1:30 PM - 2:00 PM<br>
4/4/23 1:30 PM - 2:00 PM<br>
4/18/23 1:30 PM - 2:00 PM<br>
5/2/23 1:30 PM - 2:00 PM<br>
5/16/23 1:30 PM - 2:00 PM<br>
5/30/23 1:30 PM - 2:00 PM<br>
6/13/23 1:30 PM - 2:00 PM<br>
6/27/23 1:30 PM - 2:00 PM<br>
7/11/23 1:30 PM - 2:00 PM<br>
7/25/23 1:30 PM - 2:00 PM<br>
8/8/23 1:30 PM - 2:00 PM<br>
8/22/23 1:30 PM - 2:00 PM<br>
9/5/23 1:30 PM - 2:00 PM<br>
9/19/23 1:30 PM - 2:00 PM<br>
10/3/23 1:30 PM - 2:00 PM<br>
10/17/23 1:30 PM - 2:00 PM<br>
10/31/23 1:30 PM - 2:00 PM<br>
11/14/23 1:30 PM - 2:00 PM<br>
11/28/23 1:30 PM - 2:00 PM<br>
12/12/23 1:30 PM - 2:00 PM<br>
12/26/23 1:30 PM - 2:00 PM<br>",,,,,0,
9170,West Suffield Congregational Church,publish,west-suffield-congregational-church,"<table>
<colgroup>
<col> </colgroup>
<tbody>
<tr>
<td>Every  other Tuesday.</td>
</tr>
</tbody>
</table>
Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.",,1,11/18/2022 18:08,1408 Mountain Rd,,West Suffield,CT,6093,USA,US,41.991653,-72.701726,"10/11/22 1:15 PM - 1:45 PM<br>
10/25/22 1:15 PM - 1:45 PM<br>
11/8/22 1:15 PM - 1:45 PM<br>
11/22/22 1:15 PM - 1:45 PM<br>
12/6/22 1:15 PM - 1:45 PM<br>
12/20/22 1:15 PM - 1:45 PM<br>
1/3/23 1:15 PM - 1:45 PM<br>
1/17/23 1:15 PM - 1:45 PM<br>
1/31/23 1:15 PM - 1:45 PM<br>
2/14/23 1:15 PM - 1:45 PM<br>
2/28/23 1:15 PM - 1:45 PM<br>
3/14/23 1:15 PM - 1:45 PM<br>
3/28/23 1:15 PM - 1:45 PM<br>
4/11/23 1:15 PM - 1:45 PM<br>
4/25/23 1:15 PM - 1:45 PM<br>
5/9/23 1:15 PM - 1:45 PM<br>
5/23/23 1:15 PM - 1:45 PM<br>
6/6/23 1:15 PM - 1:45 PM<br>
6/20/23 1:15 PM - 1:45 PM<br>
7/4/23 1:15 PM - 1:45 PM<br>
7/18/23 1:15 PM - 1:45 PM<br>
8/1/23 1:15 PM - 1:45 PM<br>
8/15/23 1:15 PM - 1:45 PM<br>
8/29/23 1:15 PM - 1:45 PM<br>
9/12/23 1:15 PM - 1:45 PM<br>
9/26/23 1:15 PM - 1:45 PM<br>
10/10/23 1:15 PM - 1:45 PM<br>
10/24/23 1:15 PM - 1:45 PM<br>
11/7/23 1:15 PM - 1:45 PM<br>
11/21/23 1:15 PM - 1:45 PM<br>
12/5/23 1:15 PM - 1:45 PM<br>
12/19/23 1:15 PM - 1:45 PM<br>",,,,,0,
9171,Wethersfield SS: Lancaster Road,publish,wethersfield-ss-lancaster-road,"<table>
<colgroup>
<col> </colgroup>
<tbody>
<tr>
<td>Every  other Wednesday.
Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.</td>
</tr>
</tbody>
</table>",,1,11/18/2022 18:08,55 Lancaster Rd,,Wethersfield,CT,6109,USA,US,41.697646,-72.661728,"10/5/22 9:00 AM - 9:30 AM<br>
10/19/22 9:00 AM - 9:30 AM<br>
11/2/22 9:00 AM - 9:30 AM<br>
11/16/22 9:00 AM - 9:30 AM<br>
11/30/22 9:00 AM - 9:30 AM<br>
12/14/22 9:00 AM - 9:30 AM<br>
12/28/22 9:00 AM - 9:30 AM<br>
1/11/23 9:00 AM - 9:30 AM<br>
1/25/23 9:00 AM - 9:30 AM<br>
2/8/23 9:00 AM - 9:30 AM<br>
2/22/23 9:00 AM - 9:30 AM<br>
3/8/23 9:00 AM - 9:30 AM<br>
3/22/23 9:00 AM - 9:30 AM<br>
4/5/23 9:00 AM - 9:30 AM<br>
4/19/23 9:00 AM - 9:30 AM<br>
5/3/23 9:00 AM - 9:30 AM<br>
5/17/23 9:00 AM - 9:30 AM<br>
5/31/23 9:00 AM - 9:30 AM<br>
6/14/23 9:00 AM - 9:30 AM<br>
6/28/23 9:00 AM - 9:30 AM<br>
7/12/23 9:00 AM - 9:30 AM<br>
7/26/23 9:00 AM - 9:30 AM<br>
8/9/23 9:00 AM - 9:30 AM<br>
8/23/23 9:00 AM - 9:30 AM<br>
9/6/23 9:00 AM - 9:30 AM<br>
9/20/23 9:00 AM - 9:30 AM<br>
10/4/23 9:00 AM - 9:30 AM<br>
10/18/23 9:00 AM - 9:30 AM<br>
11/1/23 9:00 AM - 9:30 AM<br>
11/15/23 9:00 AM - 9:30 AM<br>
11/29/23 9:00 AM - 9:30 AM<br>
12/13/23 9:00 AM - 9:30 AM<br>
12/27/23 9:00 AM - 9:30 AM<br>",,,,,0,
9172,Willington Senior Center,publish,willington-senior-center,"<table>
<colgroup>
<col> </colgroup>
<tbody>
<tr>
<td>Every  other Wednesday. Behind Town Hall.
Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.</td>
</tr>
</tbody>
</table>",,1,11/18/2022 18:08,60 Old Farms Rd,,Willington,CT,6279,USA,US,41.868641,-72.256845,"10/12/22 11:00 AM - 11:30 AM<br>
10/26/22 11:00 AM - 11:30 AM<br>
11/9/22 11:00 AM - 11:30 AM<br>
11/23/22 11:00 AM - 11:30 AM<br>
12/7/22 11:00 AM - 11:30 AM<br>
12/21/22 11:00 AM - 11:30 AM<br>
1/4/23 11:00 AM - 11:30 AM<br>
1/18/23 11:00 AM - 11:30 AM<br>
2/1/23 11:00 AM - 11:30 AM<br>
2/15/23 11:00 AM - 11:30 AM<br>
3/1/23 11:00 AM - 11:30 AM<br>
3/15/23 11:00 AM - 11:30 AM<br>
3/29/23 11:00 AM - 11:30 AM<br>
4/12/23 11:00 AM - 11:30 AM<br>
4/26/23 11:00 AM - 11:30 AM<br>
5/10/23 11:00 AM - 11:30 AM<br>
5/24/23 11:00 AM - 11:30 AM<br>
6/7/23 11:00 AM - 11:30 AM<br>
6/21/23 11:00 AM - 11:30 AM<br>
7/5/23 11:00 AM - 11:30 AM<br>
7/19/23 11:00 AM - 11:30 AM<br>
8/2/23 11:00 AM - 11:30 AM<br>
8/16/23 11:00 AM - 11:30 AM<br>
8/30/23 11:00 AM - 11:30 AM<br>
9/13/23 11:00 AM - 11:30 AM<br>
9/27/23 11:00 AM - 11:30 AM<br>
10/11/23 11:00 AM - 11:30 AM<br>
10/25/23 11:00 AM - 11:30 AM<br>
11/8/23 11:00 AM - 11:30 AM<br>
11/22/23 11:00 AM - 11:30 AM<br>
12/6/23 11:00 AM - 11:30 AM<br>
12/20/23 11:00 AM - 11:30 AM<br>",,,,,0,
9173,Windsor Food & Fuel - Hopewell Baptist Church,publish,windsor-food-fuel-hopewell-baptist-church,"<table>
<colgroup>
<col> </colgroup>
<tbody>
<tr>
<td>Every  other Wednesday.&nbsp;
Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.</td>
</tr>
</tbody>
</table>",,1,11/18/2022 18:08,280 Windsor Ave,,Windsor,CT,6095,USA,US,41.810286,-72.656627,"10/5/22 1:30 PM - 2:00 PM<br>
10/19/22 1:30 PM - 2:00 PM<br>
11/2/22 1:30 PM - 2:00 PM<br>
11/16/22 1:30 PM - 2:00 PM<br>
11/30/22 1:30 PM - 2:00 PM<br>
12/14/22 1:30 PM - 2:00 PM<br>
12/28/22 1:30 PM - 2:00 PM<br>
1/11/23 1:30 PM - 2:00 PM<br>
1/25/23 1:30 PM - 2:00 PM<br>
2/8/23 1:30 PM - 2:00 PM<br>
2/22/23 1:30 PM - 2:00 PM<br>
3/8/23 1:30 PM - 2:00 PM<br>
3/22/23 1:30 PM - 2:00 PM<br>
4/5/23 1:30 PM - 2:00 PM<br>
4/19/23 1:30 PM - 2:00 PM<br>
5/3/23 1:30 PM - 2:00 PM<br>
5/17/23 1:30 PM - 2:00 PM<br>
5/31/23 1:30 PM - 2:00 PM<br>
6/14/23 1:30 PM - 2:00 PM<br>
6/28/23 1:30 PM - 2:00 PM<br>
7/12/23 1:30 PM - 2:00 PM<br>
7/26/23 1:30 PM - 2:00 PM<br>
8/9/23 1:30 PM - 2:00 PM<br>
8/23/23 1:30 PM - 2:00 PM<br>
9/6/23 1:30 PM - 2:00 PM<br>
9/20/23 1:30 PM - 2:00 PM<br>
10/4/23 1:30 PM - 2:00 PM<br>
10/18/23 1:30 PM - 2:00 PM<br>
11/1/23 1:30 PM - 2:00 PM<br>
11/15/23 1:30 PM - 2:00 PM<br>
11/29/23 1:30 PM - 2:00 PM<br>
12/13/23 1:30 PM - 2:00 PM<br>
12/27/23 1:30 PM - 2:00 PM<br>",,,,,0,
9174,Town Annex,publish,town-annex,"Distribution sites/days/times are subject to change due to weather and unforeseen circumstances. Check back often.

Please also visit&nbsp;<a href=""https://www.211.org/"">https://www.211.org</a>&nbsp;or call 2-1-1 for more food resource information.",,1,11/18/2022 18:08,48 E Main St,,Clinton,CT,6413,USA,US,41.278022,-72.524504,10/7/22 9:30 AM - 10:30 AM<br>,,,,,0,
